date,vnd_per_cad,open,high,low,change_pct,year,month
2025-08-06,19085.91,19058.34,19094.26,19010.16,0.14,2025,8
2025-08-07,19073.09,19084.53,19113.83,19030.86,-0.07,2025,8
2025-08-08,19062.34,19070.31,19113.4,19042.87,-0.06,2025,8
2025-08-11,19038.39,19060.96,19088.13,19014.24,-0.13,2025,8
2025-08-12,19074.24,19037.02,19101.29,19014.4,0.19,2025,8
2025-08-13,19106.8,19076.32,19131.41,19038.03,0.17,2025,8
2025-08-14,19009.88,19108.19,19136.05,19003.7,-0.51,2025,8
2025-08-15,19009.38,19010.57,19084.14,18997.22,0.0,2025,8
2025-08-18,19053.83,19015.56,19082.87,18998.45,0.23,2025,8
2025-08-19,18979.63,19052.45,19072.99,18974.85,-0.39,2025,8
2025-08-20,19021.2,18978.27,19050.71,18947.01,0.22,2025,8
2025-08-21,19000.47,19021.2,19064.57,18965.24,-0.11,2025,8
2025-08-22,19057.61,19001.15,19075.54,18907.1,0.3,2025,8
2025-08-25,18979.07,19061.05,19073.82,18972.23,-0.41,2025,8
2025-08-26,19051.92,18979.07,19075.36,18972.01,0.38,2025,8
2025-08-27,19129.11,19052.61,19141.61,18996.94,0.41,2025,8
2025-08-28,19183.21,19129.12,19195.78,19104.72,0.28,2025,8
2025-08-29,19166.97,19183.91,19195.48,19117.6,-0.08,2025,8
2025-09-01,19158.61,19177.44,19185.81,19141.21,-0.04,2025,9
2025-09-02,19114.13,19159.3,19167.67,19067.78,-0.23,2025,9
2025-09-03,19130.38,19116.9,19146.36,19065.07,0.09,2025,9
2025-09-04,19097.59,19129.01,19133.86,19058.29,-0.17,2025,9
2025-09-05,19089.63,19098.29,19188.14,19053.12,-0.04,2025,9
2025-09-08,19136.46,19095.16,19158.66,19053.57,0.25,2025,9
2025-09-09,19062.67,19134.38,19155.2,19037.92,-0.39,2025,9
2025-09-10,19040.58,19061.29,19086.02,19018.87,-0.12,2025,9
2025-09-11,19087.3,19037.84,19097.65,18997.88,0.25,2025,9
2025-09-12,19062.24,19087.99,19095.45,19029.46,-0.13,2025,9
2025-09-15,19150.1,19052.61,19167.48,19040.95,0.46,2025,9
2025-09-16,19202.63,19152.88,19211.03,19130.76,0.27,2025,9
